produto,codigo,categoria,tipo_produto,preco_desconto,perc_desconto,avaliacao,qtd_avaliacoes,valor_total_vendas
"Wayona Nylon Braided USB To Lightning Fast Charging And Data Sync Cable Compatible For iPhone 13, 12,11, X, 8, 7, 6, 5, Ipad Air, Pro, Mini (3 Ft Pack Of 1, Grey)",B07JW9H4J1,Computers e Accessories,Cabo,23.939999999999998,64.0,4.2,24269.0,580999.86
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5M Braided Type C Cable For Smartphones, Tablets, Laptops E Other Type C Devices, Pd Technology, 480Mbps Data Sync, Quick Charge 3.0 (Rct15A, Black)",B098NS6PVG,Computers e Accessories,Cabo,11.94,43.0,4.0,43994.0,525288.36
"Sounce Fast Phone Charging Cable E Data Sync USB Cable Compatible For iPhone 13, 12,11, X, 8, 7, 6, 5, Ipad Air, Pro, Mini E Ios Devices",B096MSW6CT,Computers e Accessories,Cabo,11.94,90.0,3.9,7928.0,94660.31999999999
"Boat Deuce USB 300 2 In 1 Type-C E Micro USB Stress Resistant, Tangle-Free, Sturdy Cable With 3A Fast Charging E 480Mbps Data Transmission, 10000+ Bends Lifespan And Extended 1.5M Length(Martian Red)",B08HDJ86NZ,Computers e Accessories,Cabo,19.74,53.0,4.2,94363.0,1862725.6199999999
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable With Charge E Sync Function For iPhone, Ipad (Grey)",B08CF3B7N1,Computers e Accessories,Cabo,9.24,61.0,4.2,16905.0,156202.2
"Ptron Solero Tb301 3A Type-C Data And Fast Charging Cable, Made In India, 480Mbps Data Sync, Strong And Durable 1.5-Meter Nylon Braided USB Cable For Type-C Devices For Charging Adapter (Black)",B08Y1TFSP6,Computers e Accessories,Cabo,8.94,85.0,3.9,24871.0,222346.74
"Boat Micro USB 55 Tangle-Free, Sturdy Micro USB Cable With 3A Fast Charging E 480Mbps Data Transmission (Black)",B08WRWPM22,Computers e Accessories,Cabo,10.5978,65.0,4.1,15188.0,160959.3864
Mi USB Type-C Cable Smartphone (Black),B08DDRGWTJ,Computers e Accessories,Cabo,13.74,23.0,4.3,30411.0,417847.14
"Tp-Link USB Wifi Adapter For Pc(Tl-Wn725N), N150 Wireless Network Adapter For Desktop - Nano Size Wifi Dongle Compatible With Windows 11/10/7/8/8.1/Xp/ Mac Os 10.9-10.15 Linux Kernel 2.6.18-4.4.3",B008IFXQFU,Computers e Accessories,Computador,29.939999999999998,50.0,4.2,179691.0,5379948.54
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5M Braided Micro USB Cable For Smartphones, Tablets, Laptops E Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (Rcm15, Black)",B082LZGK39,Computers e Accessories,Cabo,11.94,33.0,4.0,43994.0,525288.36
Portronics Konnect L Por-1081 Fast Charging 3A Type-C Cable 1.2Meter With Charge E Sync Function For All Type-C Devices (Grey),B08CF3D7QR,Computers e Accessories,Cabo,9.24,55.0,4.3,13391.0,123732.84
Boat Rugged V3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),B0789LZTCJ,Computers e Accessories,Cabo,17.939999999999998,63.0,4.2,94363.0,1692872.2199999997
"Amazonbasics Flexible Premium Hdmi Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",B07KSMBL2H,Electronics,Cabo,13.139999999999999,69.0,4.4,426973.0,5610425.22
"Portronics Konnect Cl 20W Por-1067 Type-C To 8 Pin USB 1.2M Cable With Power Delivery E 3A Quick Charge Support, Nylon Braided For All Type-C And 8 Pin Devices, Green",B085DTN6R2,Computers e Accessories,Cabo,21.0,61.0,4.2,2262.0,47502.0
Portronics Konnect L 1.2M Por-1401 Fast Charging 3A 8 Pin USB Cable With Charge E Sync Function (White),B09KLVMZ3B,Computers e Accessories,Cabo,9.54,60.0,4.1,4768.0,45486.719999999994
Mi Braided USB Type-C Cable For Charging Adapter (Red),B083342NKJ,Computers e Accessories,Cabo,20.939999999999998,13.0,4.4,18757.0,392771.57999999996
Mi 80 Cm (32 Inches) 5A Series Hd Ready Smart Android Led Tv L32M7-5Ain (Black),B0B6F7LX4C,Electronics,Tv,839.9399999999999,44.0,4.2,32840.0,27583629.599999998
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5M Braided Type C To Type C Cable For Smartphones, Tablets, Laptops E Other Type C Devices, Pd Technology, 480Mbps Data Sync (Rctt15, Black)",B082LSVT4B,Computers e Accessories,Cabo,14.94,38.0,4.0,43994.0,657270.36
"Boat Type C A325 Tangle-Free, Sturdy Type C Cable With 3A Rapid Charging E 480Mbps Data Transmission(Black)",B08WRBG3XW,Computers e Accessories,Cabo,11.94,60.0,4.1,13045.0,155757.3
Lg 80 Cm (32 Inches) Hd Ready Smart Led Tv 32Lm563Bptc (Dark Iron Gray),B08DPLCM6T,Electronics,Tv,809.4,39.0,4.3,11976.0,9693374.4
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync E Charge Cable For iPhone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",B09C6HXFC1,Computers e Accessories,Cabo,58.199999999999996,46.0,4.5,815.0,47433.0
"Tizum Hdmi To Vga Adapter Cable 1080P For Projector, Computer, Laptop, Tv, Projectors E Tv",B085194JFL,Electronics,Cabo,16.74,44.0,3.7,10962.0,183503.87999999998
Samsung 80 Cm (32 Inches) Wondertainment Series Hd Ready Led Smart Tv Ua32T4340Bkxxl (Glossy Black),B09F6S8BT6,Electronics,Tv,809.4,41.0,4.3,16299.0,13192410.6
Flix Micro USB Cable For Smartphone (Black),B09NHVCHS9,Computers e Accessories,Cabo,3.54,70.0,4.0,9378.0,33198.12
Acer 80 Cm (32 Inches) I Series Hd Ready Android Smart Led Tv Ar32Ar2841Hdfl (Black),B0B1YVCJ2Y,Electronics,Tv,689.9399999999999,42.0,4.3,4703.0,3244787.82
Tizum High Speed Hdmi Cable With Ethernet | Supports 3D 4K | For All Hdmi Devices Laptop Computer Gaming Console Tv Set Top Box (1.5 Meter/ 5 Feet),B01M4GGIVU,Electronics,Cabo,11.94,72.0,4.2,12153.0,145106.82
Oneplus 80 Cm (32 Inches) Y Series Hd Ready Led Smart Android Tv 32Y1 (Black),B08B42LWKN,Electronics,Tv,899.9399999999999,25.0,4.2,34899.0,31407006.06
"Ambrane Unbreakable 3 In 1 Fast Charging Braided Multipurpose Cable For Speaker With 2.1 A Speed - 1.25 Meter, Black",B094JNXNPV,Computers e Accessories,Cabo,17.939999999999998,25.0,4.0,2766.0,49622.03999999999
"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync E Charge Cable For iPhone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",B09W5XR9RT,Computers e Accessories,Cabo,58.199999999999996,51.0,4.4,184.0,10708.8
